wc_sun,m0_kpi_bb,m0_kpi_mac,m0_kpi_tf,m1_meta_bb_sp,m1_meta_mac_sp,m1_meta_tf_sp,m1_prog_bb_sp,m1_prog_mac_sp,m1_prog_tf_sp,m1_search_bb_sp,m1_search_mac_sp,m1_search_tf_sp,m1_social_bb_sp,m1_social_mac_sp,m1_social_tf_sp,m3_ooh_bb_sp,m3_ooh_mac_sp,m3_ooh_tf_sp,m3_partnership_bb_sp,m3_tv_mac_sp,m3_vod_bb_sp,m3_vod_mac_sp
2024-06-30,815138.5693811419,1948149.2123377023,961653.6890383952,1117.71,7570.03,0.0,0.0,0.0,0.0,0.0,5047.3566,701.3979,1238.0,3330.01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-07-07,566565.9468509918,1841846.2009647263,909179.9450380343,1347.34,19198.18,0.0,0.0,0.0,0.0,0.0,7000.3505,1234.5138,0.0,12447.42,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-07-14,711607.1515069703,1742349.697552459,860066.0584081627,1442.29,16478.02,0.0,0.0,0.0,0.0,0.0,10575.3384,1292.1832,0.0,12535.65,8655.99,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-07-21,851373.57033297,2314371.805048839,1142430.0407980578,1444.13,14640.37,0.0,0.0,0.0,0.0,1935.297,7643.0948,2070.058,0.0,12452.6405,12709.68,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-07-28,644180.7619279259,2111637.084096273,1042355.2667173498,4572.05,14638.17,0.0,2500.6595,0.0,0.0,4895.222,3976.0713,2860.7499,0.0,12675.5414,15141.39,11931.0,0.0,0,0.0,0.0,0.0,0.0
2024-08-04,1122923.8376588929,2781577.85755368,1471490.4751591326,10197.34,5544.75,0.0,8549.201,0.0,0.0,5737.3206,6945.762,3583.7985,0.0,2730.8649,15593.36,27839.0,0.0,0,0.0,0.0,0.0,0.0
2024-08-11,1102902.258041638,2668734.0326642497,1411794.639914256,9992.72,6369.52,0.0,8871.8118,0.0,0.0,5148.1768,8894.8474,2367.0622,0.0,5678.1181,16049.05,15908.0,0.0,0,0.0,0.0,0.0,0.0
2024-08-18,1279583.872713232,2919369.303341959,1544383.9228421608,15619.48,12653.05,0.0,8995.6003,0.0,0.0,5384.4253,7267.2872,1732.2869,0.0,6110.7776,4810.7,0.0,51928.0,0,0.0,31161.902093,0.0,0.0
2024-08-25,1382635.031586238,3108398.8064401103,1644382.96208445,18497.24,17129.38,0.0,9023.1561,0.0,0.0,7626.338,8040.0764,1703.2117,774.36,6690.6269,0.0,0.0,54506.0,0,0.0,73011.073935,0.0,39730.0000007
2024-09-01,729078.7416774106,2045134.8194149404,1131268.8109120247,10323.41,18801.89,2819.88,0.0,7228.3002,0.0,6034.5034,11624.3649,1643.851,0.0,6801.1985,7990.04,0.0,11871.0,0,0.0,57131.457042,0.0,0.0
2024-09-08,704015.0985930668,2066944.0383010362,1143332.6068446818,9976.82,16677.84,9456.27,0.0,13332.9467,0.0,4639.7047,13047.7408,1572.4347,0.0,65025.6935,14433.97,0.0,81.0,10584,0.0,14955.63224,0.0,0.0
2024-09-15,857952.8022559249,2178417.058980744,1204994.0437122916,10476.66,15593.89,11606.09,0.0,15890.8291,0.0,5519.7091,9352.8785,3366.0265,0.0,15048.2976,16110.89,0.0,0.0,18522,0.0,0.0,0.0,1387.4701279
2024-09-22,1118456.357473598,2586460.0833032797,1430703.5385310021,9478.36,15175.87,11488.91,0.0,16259.5861,0.0,6954.0394,7200.5436,2508.0847,0.0,14773.318,13379.06,0.0,0.0,9488,0.0,0.0,0.0,10551.1680606358
2024-09-29,921414.0493430427,1809009.0697542012,1026001.52550575,8607.63,12466.41,13413.83,0.0,9161.2073,0.0,8625.9805,12210.3286,1521.0006,0.0,8413.3893,11950.36,0.0,0.0,0,0.0,0.0,0.0,36804.6424097642
2024-10-06,821880.9501611937,1821607.1373560873,1033146.6729757492,13710.78,20287.99,17041.62,0.0,11821.8582,0.0,8858.9765,13986.328,1276.0032,0.0,13457.7844,10459.04,0.0,19196.0,0,0.0,0.0,0.0,63179.00882864
2024-10-13,803868.1253702131,1663989.628753422,943751.9833765847,14098.16,25327.64,15502.65,0.0,12565.9242,0.0,7611.4327,14118.0337,1255.5082,0.0,14085.4607,10875.65,0.0,26874.4,0,0.0,0.0,0.0,30556.828119
