Brand,Channel,Historical_Spend,Optimal_Budget,Change_Amount,Change_Percent,Budget_Share
BB,TOTAL,1282664.273103757,4942415.710353571,3659751.437249814,285.3239667426289,32.949438069023806
BB,meta,496850.20999999996,40684.64524786406,-456165.5647521359,-91.81130196948418,0.8231732746121745
BB,prog,83101.1757,609965.35236,526864.17666,633.9956471921829,12.341441677643992
BB,search,324398.2146,3675392.35544,3350994.14084,1032.9846651977682,74.36429007257807
BB,social,2012.3600000000001,83688.8,81676.44,4056.7230897604004,1.6932772333311692
BB,ooh,108029.45999999999,136113.796,28084.33600000001,25.996682787428664,2.753993269219814
BB,partnership,26798.99999,139354.79994800015,112555.79995800015,419.98432835820364,2.819568569597942
BB,vod,241473.85281375708,257215.96135770643,15742.108543949347,6.519150280253324,5.20425590301682
MAC,TOTAL,3169636.9623368615,7630017.7381671015,4460380.77583024,140.72208967808297,50.866784921114004
MAC,meta,781356.4400000001,109332.85999999999,-672023.5800000001,-86.00719025597299,1.4329306136877231
MAC,prog,215298.27010000002,119668.89479999998,-95629.37530000004,-44.41695285617229,1.5683960235293906
MAC,search,561477.0075000001,4287829.75868,3726352.7511799997,663.6685144217334,56.19685177442367
MAC,social,515973.2685,28291.172119498977,-487682.09638050105,-94.51674747235987,0.37078776341475633
MAC,ooh,610032.929956,2490006.1261745193,1879973.1962185195,308.175185657971,32.63434256147186
MAC,tv,176260.06531,544385.0137375225,368124.94842752255,208.85210683373606,7.134780447683413
MAC,vod,309238.9809708616,50503.91265556,-258735.0683153016,-83.66805207496154,0.6619108157891669
TF,TOTAL,801529.1909,2427566.553880001,1626037.362980001,202.86663951537508,16.18377702586667
TF,meta,229645.46000000002,1152013.512,922368.0520000001,401.6469716101873,47.45548624233295
TF,prog,44746.5259,122671.07580000062,77924.54990000062,174.14270025597241,5.053252838894751
TF,search,116215.22499999999,772044.78208,655829.55708,564.31841344012,31.803238549568665
TF,social,372327.98,35473.984,-336853.996,-90.47213998759915,1.4612981029624756
TF,ooh,38594.0,345363.2000000004,306769.2000000004,794.8418188884581,14.226724266241161
